"id_prod","PUNTO DE VENTA","TIPO PRODUCTO","MARCA","MODELO","COLOR","TECNOLOGIA","MEMORIA INTERNA","MEMORIA RAM","TECNOLOGIA SIM","TIPO PROCESADOR","DETALLE TECNICO","DISPOSITIVO DESTINO","TIPO ACCESORIO","MATERIA","VOLTAJE","TIPO CONEXION","RUTA CAPTURA","d_extension_captura","v_peso_captura","d_dimension_captura"
"68","CHOSICA","Equipo Celular","SAMSUNG","GALAXY A56","AWESOME GRAPHITE ","5G","256 GB","8 GB","One SIM","Samsung Exynos 1580 Octa-core","\N","\N","\N","\N","\N","Tipo C","https://expansiontecmye.pe/daavif/assets/equipos/celular/CEL_CODE-8806097047254_K-20260826130920.jpg","jpg","87689.0000","width: 781 x height: 853"
"68","CHOSICA","Equipo Celular","SAMSUNG","GALAXY A56","AWESOME GRAPHITE ","5G","256 GB","8 GB","One SIM","Samsung Exynos 1580 Octa-core","\N","\N","\N","\N","\N","Tipo C","https://expansiontecmye.pe/daavif/assets/equipos/celular/CEL_CODE-8806097047254_K-20260826130920.jpg","jpg","87689.0000","width: 781 x height: 853"
"68","CHOSICA","Equipo Celular","SAMSUNG","GALAXY A56","AWESOME GRAPHITE ","5G","256 GB","8 GB","One SIM","Samsung Exynos 1580 Octa-core","\N","\N","\N","\N","\N","Tipo C","https://expansiontecmye.pe/daavif/assets/equipos/celular/CEL_CODE-8806097047254_K-20260826130920.jpg","jpg","87689.0000","width: 781 x height: 853"
"68","CHOSICA","Equipo Celular","SAMSUNG","GALAXY A56","AWESOME GRAPHITE ","5G","256 GB","8 GB","One SIM","Samsung Exynos 1580 Octa-core","\N","\N","\N","\N","\N","Tipo C","https://expansiontecmye.pe/daavif/assets/equipos/celular/CEL_CODE-8806097047254_K-20260826130920.jpg","jpg","87689.0000","width: 781 x height: 853"
"68","CIENEGUILLA","Equipo Celular","SAMSUNG","GALAXY A56","AWESOME GRAPHITE ","5G","256 GB","8 GB","One SIM","Samsung Exynos 1580 Octa-core","\N","\N","\N","\N","\N","Tipo C","https://expansiontecmye.pe/daavif/assets/equipos/celular/CEL_CODE-8806097047254_K-20260826130920.jpg","jpg","87689.0000","width: 781 x height: 853"
"68","CHOSICA","Equipo Celular","SAMSUNG","GALAXY A56","AWESOME GRAPHITE ","5G","256 GB","8 GB","One SIM","Samsung Exynos 1580 Octa-core","\N","\N","\N","\N","\N","Tipo C","https://expansiontecmye.pe/daavif/assets/equipos/celular/CEL_CODE-8806097047254_K-20260826130920.jpg","jpg","87689.0000","width: 781 x height: 853"
"61","CHOSICA","Equipo Celular","SAMSUNG","GALAXY A07","NEGRO","4G LTE","128 GB","4 GB","One SIM","MediaTek Helio G99 Octa-core","Android 15","\N","\N","\N","\N","Tipo C","https://expansiontecmye.pe/daavif/assets/equipos/celular/CEL_CODE-8806097661580_K-20260826110411.jpg","jpg","59745.0000","width: 603 x height: 735"
"45","CIENEGUILLA","Equipo Celular","MOTOROLA","MOTO G17","PANTONE BORDEAUX (ROSA)","4G LTE","256 GB","4 GB","One SIM","MediaTek Helio G81 Extreme Octa-core","Android 15","\N","\N","\N","\N","Tipo C","https://expansiontecmye.pe/daavif/assets/equipos/celular/CEL_CODE-840493613352_K-20260826083701.jpg","jpg","87957.0000","width: 698 x height: 861"
"45","CHOSICA","Equipo Celular","MOTOROLA","MOTO G17","PANTONE BORDEAUX (ROSA)","4G LTE","256 GB","4 GB","One SIM","MediaTek Helio G81 Extreme Octa-core","Android 15","\N","\N","\N","\N","Tipo C","https://expansiontecmye.pe/daavif/assets/equipos/celular/CEL_CODE-840493613352_K-20260826083701.jpg","jpg","87957.0000","width: 698 x height: 861"
"45","CHOSICA","Equipo Celular","MOTOROLA","MOTO G17","PANTONE BORDEAUX (ROSA)","4G LTE","256 GB","4 GB","One SIM","MediaTek Helio G81 Extreme Octa-core","Android 15","\N","\N","\N","\N","Tipo C","https://expansiontecmye.pe/daavif/assets/equipos/celular/CEL_CODE-840493613352_K-20260826083701.jpg","jpg","87957.0000","width: 698 x height: 861"
